Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Email,Has Phone,Has Website,Has Facebook,Has Twitter/X,Has Instagram,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
Abode Canterbury,https://www.kentvenues.co.uk/venues/abode-canterbury-3,31,Critical,No,550,1,0,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2,8,2,4,2
Alexander Centre,https://www.kentvenues.co.uk/venues/alexander-centre,75,Critical,No,3404,3,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,4,1,0,3
Alexandra Suite,https://www.kentvenues.co.uk/venues/alexandra-suite-venue-hire-swanley,78,Warning,No,335,7,2,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,5,0,2,3
Allhallows Holiday Park,https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2,24,Critical,Yes,23,3,4,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,0,11,2,3,6
Allington Castle,https://www.kentvenues.co.uk/venues/allington-castle,25,Critical,No,674,3,0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,0,11,2,4,5
Angel Centre,https://www.kentvenues.co.uk/venues/angel-centre,16,Critical,Yes,14,3,5,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,3,10,3,3,4
Ann Robertson Centre,https://www.kentvenues.co.uk/venues/ann-robertson-centre,59,Critical,No,453,5,1,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,3,7,1,3,3
Ashford International Hotel,https://www.kentvenues.co.uk/venues/ashford-international-hotel,39,Critical,Yes,27,3,5,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,3,8,2,2,4
Assembly Hall Theatre,https://www.kentvenues.co.uk/venues/assembly-hall-theatre,17,Critical,Yes,66,2,1,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,0,11,2,5,4
Astor Community Theatre,https://www.kentvenues.co.uk/venues/astor-community-theatre,36,Critical,No,416,3,0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,0,9,2,3,4
Avanta Bromley,https://www.kentvenues.co.uk/venues/avanta-bromley,0,Critical,Yes,87,0,0,No,No,No,No,No,No,No,No,No,No,No,0,11,5,4,2
Aylesham Welfare Leisure Centre,https://www.kentvenues.co.uk/venues/aylesham-welfare-leisure-centre,66,Critical,No,526,2,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,5,1,1,3
Barn Tunbridge Wells,https://www.kentvenues.co.uk/venues/barn-tunbridge-wells,76,Critical,No,3082,8,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,3,4,1,0,3
Barnehurst Golf Club,https://www.kentvenues.co.uk/venues/barnehurst-golf-club,48,Critical,No,247,4,6,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,0,9,1,3,5
