Venue Name	URL	Score	Issue Category	Severity	Issue Description	Recommended Improvement
Abode Canterbury	https://www.kentvenues.co.uk/venues/abode-canterbury-3	31	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Abode Canterbury	https://www.kentvenues.co.uk/venues/abode-canterbury-3	31	photos	warning	Only 1 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Abode Canterbury	https://www.kentvenues.co.uk/venues/abode-canterbury-3	31	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Abode Canterbury	https://www.kentvenues.co.uk/venues/abode-canterbury-3	31	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Abode Canterbury	https://www.kentvenues.co.uk/venues/abode-canterbury-3	31	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Abode Canterbury	https://www.kentvenues.co.uk/venues/abode-canterbury-3	31	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Abode Canterbury	https://www.kentvenues.co.uk/venues/abode-canterbury-3	31	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Abode Canterbury	https://www.kentvenues.co.uk/venues/abode-canterbury-3	31	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Alexander Centre	https://www.kentvenues.co.uk/venues/alexander-centre	75	photos	suggestion	Only 3 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Alexander Centre	https://www.kentvenues.co.uk/venues/alexander-centre	75	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Alexander Centre	https://www.kentvenues.co.uk/venues/alexander-centre	75	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Alexander Centre	https://www.kentvenues.co.uk/venues/alexander-centre	75	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Alexandra Suite	https://www.kentvenues.co.uk/venues/alexandra-suite-venue-hire-swanley	78	facilities	warning	"Only 2 facilities listed (Wifi, Parking)"	"Expand the amenities list to include everything guests would want to know — WiFi, AV, parking, catering options, accessibility features"
Alexandra Suite	https://www.kentvenues.co.uk/venues/alexandra-suite-venue-hire-swanley	78	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Alexandra Suite	https://www.kentvenues.co.uk/venues/alexandra-suite-venue-hire-swanley	78	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Alexandra Suite	https://www.kentvenues.co.uk/venues/alexandra-suite-venue-hire-swanley	78	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Alexandra Suite	https://www.kentvenues.co.uk/venues/alexandra-suite-venue-hire-swanley	78	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	description	warning	Description is very short (23 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	photos	suggestion	Only 3 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	contact	suggestion	No venue website link on the listing	Embed or link the venue's own website so visitors can research further
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Allhallows Holiday Park	https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2	24	facilities	suggestion	Large venue has no individual rooms/spaces listed	"Break the venue into bookable spaces with individual descriptions, capacities, and photos"
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	photos	suggestion	Only 3 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	contact	warning	"Missing social media link(s): Twitter/X, Instagram (shown as a dead ""#"" link)"	"Add the venue's Twitter/X and Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Allington Castle	https://www.kentvenues.co.uk/venues/allington-castle	25	facilities	suggestion	Large venue has no individual rooms/spaces listed	"Break the venue into bookable spaces with individual descriptions, capacities, and photos"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	description	critical	Missing or extremely short venue description	"Write a detailed description (200+ words) covering the venue's character, history, setting, and what makes it unique"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	photos	suggestion	Only 3 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	contact	warning	"Missing social media link(s): Facebook, Instagram (shown as a dead ""#"" link)"	"Add the venue's Facebook and Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Angel Centre	https://www.kentvenues.co.uk/venues/angel-centre	16	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Ann Robertson Centre	https://www.kentvenues.co.uk/venues/ann-robertson-centre	59	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
