Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Address,Has Email,Email Address,Email Source,Has Phone,Has Website,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
Abode Canterbury,https://www.kentvenues.co.uk/venues/abode-canterbury-3,31,Critical,No,550,1,0,No,No,No,Yes,No,Yes,Yes,info@abodecanterbury.co.uk,form,No,Yes,2,8,2,4,2
Alexander Centre,https://www.kentvenues.co.uk/venues/alexander-centre,75,Critical,No,3404,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,bookings@thealex.org.uk,form,No,Yes,1,4,1,0,3
Alexandra Suite,https://www.kentvenues.co.uk/venues/alexandra-suite-venue-hire-swanley,78,Warning,No,335,7,2,Yes,Yes,Yes,No,No,Yes,Yes,sales@swanleytowncouncil.gov.uk,form,No,Yes,1,5,0,2,3
Allhallows Holiday Park,https://www.kentvenues.co.uk/venues/allhallows-holiday-park-2,24,Critical,Yes,23,3,4,No,Yes,No,No,No,Yes,Yes,owners@allhallows-park.co.uk,form,No,No,0,11,2,3,6
Allington Castle,https://www.kentvenues.co.uk/venues/allington-castle,29,Critical,No,674,3,0,No,No,No,No,No,Yes,Yes,allingtoncaslteevents@gmail.com,form,No,Yes,0,10,2,3,5
Angel Centre,https://www.kentvenues.co.uk/venues/angel-centre,20,Critical,Yes,14,3,5,No,Yes,No,No,No,Yes,Yes,angel.leisurecentre@tmactive.co.uk,form,No,Yes,3,9,3,2,4
Ann Robertson Centre,https://www.kentvenues.co.uk/venues/ann-robertson-centre,63,Critical,No,453,5,1,No,Yes,Yes,No,No,Yes,Yes,info@annrobertsoncentre.org,form,No,Yes,3,6,1,2,3
Ashford International Hotel,https://www.kentvenues.co.uk/venues/ashford-international-hotel,39,Critical,Yes,27,3,5,No,Yes,Yes,Yes,No,Yes,Yes,stay@qhotels.co.uk,form,No,No,3,8,2,2,4
Assembly Hall Theatre,https://www.kentvenues.co.uk/venues/assembly-hall-theatre,17,Critical,Yes,66,2,1,No,Yes,No,No,No,Yes,Yes,boxoffice@tunbridgewells.gov.uk,form,No,Yes,0,11,2,5,4
Astor Community Theatre,https://www.kentvenues.co.uk/venues/astor-community-theatre,40,Critical,No,416,3,0,No,No,Yes,No,No,Yes,Yes,info@theastor.org,form,No,Yes,0,8,2,2,4
