name,location,venue_type,website,capacity,parking,catering,accommodation,facilities,contact_name,contact_email,contact_phone,facebook,instagram,twitter,linkedin,tiktok,description,address,postcode,source,scraped_date,source_url,detected_town,christmas_party,private_dining,outdoor_space,wedding_licensed,parking_onsite,accommodation_onsite
Aylesford Community Centre,Aylesford,Party Venue,http://avcc-hallhire.co.uk/,Large (1-300),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 65 spaces, Nearby parking: Within 40 metres, On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 22 rectangle tables, Seating: 210 chairs, Bar: Yes - Manned, WiFi, Staging, Projector, Projector screen, PA system",Bill Brooks,,01622 717473,,,,,,"Ideally placed close to Maidstone and the Medway Towns, Aylesford Community Centre has something to offer a wide range of users from the discerning individual, looking for value for money in a local venue, to the commercial organisation requiring modern facilities and easy access, and of course the community groups whose needs for small and medium meeting areas are also catered for. The Community Centre has three halls available for hire ranging from The Main Hall, 18m x 9m capacity 240, when hired with the connecting smaller hall capacity is 300. The main Hall also has a full stage Kings studio Capacity 60. 17m x 4.3m The Tremain Hall Capacity 60. 11m x 5m A  large kitchen is available for event catering and a smaller one for the Tremain Hall and Studio users. A fully licensed bar can be provided for any occasion. All alcohol must be provided by the bar and may not be brought into the C","25, Forstal Road, Aylesford, Kent, ME20 7AU",ME20 7AU,venues4hire.org,2026-09-03T10:01:18.669666,https://venues4hire.org/venue/details/6570/aylesford-community-centre,maidstone,False,False,False,False,True,False
Bexley Park Sports & Social Club,Dartford,Party Venue,http://www.bexleypark.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 90 spaces, Nearby parking: Within 2 metres, On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 10 round tables,, 8 rectangle tables, Seating: 120 chairs,, 10 benches, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Staging",Lynn Weeks,,07850 328970,https://www.facebook.com/Bexley-Park-Sports-and-Social-Club-176976965755306/,https://www.instagram.com/bexleyparksportsclubofficial,https://twitter.com/BexleyPark,,,"Fully Accessible Venue, that can be hired for private functions.","Bexley Park Sports & Social Club, Calvert Drive, Dartford, England, DA2 7GA",DA2 7GA,venues4hire.org,2026-09-03T10:01:21.344592,https://venues4hire.org/venue/details/4813/bexley-park-sports-social-club,dartford,False,False,False,False,True,False
Blackham Village Hall,Blackham,Party Venue,http://www.blackham-village.co.uk/Hire%20Village%20Hall.html,Small (1-50),No parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 16 rectangle tables, Seating: 72 chairs,, 2 benches, Cutlery, Crockery, Staging",Sarita Ashby,blackhamvillagehall@mail.com,01892 740570,,,,,,"Located opposite Blackham Church, just 400 yards from Villa Golf Course. Available for hire for: Parties, celebrations, receptions, band practices, fitness classes, martial arts, dances, tea parties, drama performances, concerts, shows, in fact just about anything! Facilities include: Disabled access and toilets, central heating, fitted kitchen, small private garden area, licensed premises. Monthly market with local produce, crafts and a friendly café on the 1st Saturday of every month except January, from 10.00am to 12.30pm. Bookings: Contact Sarita 01892 740570 Current Hire Rates: Winter: £10 / hour local residents; £11 / hour other users. Summer: £8 / hour local residents; £9 / hour other users.","Blackham Village Hall, Sussex Lane, Blackham, East Sussex, TN3 9UD",TN3 9UD,venues4hire.org,2026-09-03T10:01:22.245587,https://venues4hire.org/venue/details/4815/blackham-village-hall,tunbridge-wells,False,False,True,False,False,False
Canterbury Baptist Church,Canterbury,Party Venue,http://www.canterburybaptistchurch.org.uk,Large (1-300),No parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Nearby parking: Within 300 metres, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 12 round tables,, 12 rectangle tables, Seating: 350 chairs, Cutlery, Crockery, WiFi, Staging, Projector, Projector screen, PA system",Stephen Flower,,01227 456204,,,,,,"Community Hall Large (1-300) We are a church near the center of Canterbury with 3 halls, 2 rooms and office space to hire. Check our website for booking form, terms and conditions and letting prices.","Canterbury Baptist Church, Saint George's Place, Canterbury, Kent, CT1 1UT",CT1 1UT,venues4hire.org,2026-09-03T10:01:24.074082,https://venues4hire.org/venue/details/37573/canterbury-baptist-church,canterbury,False,False,False,False,False,False
Canterbury Umbrella,Canterbury,Party Venue,http://www.canterburyumbrella.org,Small (1-50),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking: 5 spaces, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Professional (manned), Tables: 10 rectangle tables, Seating: 30 chairs, Cutlery, Crockery, WiFi, Projector, Projector screen",Anna De Brauwer,,01227 767660,,,,,,"Canterbury Umbrella is a social hub providing support to people, particularly those with mental health issues. It is open to everyone. We operate from purpose-built premises near to Westgate Gardens which include a large dining/seating area, a 5*hygiene rated kitchen, and a fully accessible upstairs function room with an adjacent quiet room. The quiet room is currently rented by the Canterbury branch of TSB for one day a week. All rooms are available to rent subject to usage by members but are particularly available during evenings and at weekends. We are also able to provide full catering facilities subject to requirements. Full details can be found at www.canterburyumbrella.org","Canterbury Umbrella, Saint Peter's Place, Canterbury, Kent, CT1 2DB",CT1 2DB,venues4hire.org,2026-09-03T10:01:24.986087,https://venues4hire.org/venue/details/41023/canterbury-umbrella,canterbury,False,True,True,False,True,False
Chartham Village Hall,Chartham,Party Venue,https://charthamvillagehall.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 30 spaces, On-street parking, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 12 round tables,, 20 rectangle tables, Seating: 200 chairs,, 12 benches, Cutlery, Crockery, Bar: Yes - Bare (just space), WiFi, Staging, Projector",Bookings Administrator,,07301 671880,,,,,,"The village hall is a lovely venue and versatile for any occasion - it is light, spacious and extremely well maintained. For summer weddings and parties there is a paved patio at the rear accessed through patio doors with seating and a lovely backdrop which looks out over the Memorial field and river. It is also very well equipped and holds the coveted Hallmark 3 (highest) award for its facilities and management. There is ample parking on site, and has a fenced children’s play area and outdoor gym equipment on the Memorial field next to it which makes it attractive for many uses. The hall is well used by members of the local community for a variety of events and activities each week. Experience for yourself the friendly service you will receive from making an enquiry through to the hire itself. This all adds up to making Chartham Village Hall the ideal setting all your families’ special ","Station Road, Chartham, Kent, CT4 7JA",CT4 7JA,venues4hire.org,2026-09-03T10:01:25.890809,https://venues4hire.org/venue/details/25400/chartham-village-hall,canterbury,False,False,False,True,True,False
Chaucer College Kent,Canterbury,Party Venue,https://www.chaucercollege.co.uk/,Medium (1-150),No parking,Kitchen: Yes - Professional (manned),Has onsite accommodation,"Nearby parking: Within 0 metres, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Professional (manned), Cutlery, Crockery, WiFi, Staging, Projector, Projector screen, PA system",Rowan French,enquiries@chaucercollege.co.uk,01227 787800,,,,,,"Canterbury’s medieval past is epitomised by the magnificent cathedral, which sits at the heart of the city. The capital of East Kent, it possesses excellent shopping facilities and a lively atmosphere, thanks to the presence of a large academic community. Chaucer College is located on the approach to the University of Kent, with panoramic views of the city and the cathedral, representing an ideal site for meetings and conferences, and with excellent facilities for training courses and programmes.","University Road, Canterbury, Kent, CT2 7LJ",CT2 7LJ,venues4hire.org,2026-09-03T10:01:26.800713,https://venues4hire.org/venue/details/21503/chaucer-college-kent,canterbury,False,False,False,False,False,False
Cleave Warne Hall (St Matthew's Church),Rochester,Party Venue,http://www.stmatthewsborstal.com/home/calendar,Medium (1-150),Onsite parking,Kitchen: Yes - Small - tea/coffee only,No on-site accommodation,"Onsite parking, Disabled access, Disabled toilets, Kitchen: Yes - Small - tea/coffee only, Tables: 10 rectangle tables, Seating: 70 chairs, Staging",Booking Administrator,,01634 323559,https://www.facebook.com/SkechersIndonesia/,https://www.instagram.com/skechersidn/,https://twitter.com/SkechersIDN,,,"This church hall is a self-contained building. It is suitable for children's parties, quieter adult parties and regular bookings such as dance groups.  It has an excellent stage.  The kitchen is small but has a cooker and is suitable for tea and coffee and simple food preparation. We have recently replaced the floor and a decoration programme is under way. There is a garden area adjacent and a small car parking.","76 Borstal Street, Rochester, Kent, ME1 3HL",ME1 3HL,venues4hire.org,2026-09-03T10:01:27.665806,https://venues4hire.org/venue/details/6627/cleave-warne-hall-st-matthews-church,maidstone,False,False,True,False,True,False
Elham Village Hall,Elham,Party Venue,http://www.elhamvillagehall.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Maggie Tappenden,booking@elhamvillagehall.co.uk,01303 862467 / 07905 626150,https://www.facebook.com/profile.php?id=100095240427234,,,,,"Elham Village Hall is situated in the ancient and attractive village of Elham, set in an Area of Outstanding Natural Beauty in the North Downs of Kent... Our modern community hall hosts a variety of clubs and societies such as Mother & Baby Group, Yoga, Short Mat Bowls, Dog Training, Adult Education Classes and more. Elham Pre-School are based at the hall and there is a very active Sports Club which runs many activities from here. With stunning views and modern, well-kept facilities, Elham Village Hall is the perfect rural venue for your wedding ceremony and/or reception whilst being easily accessible from the A2 and M20. The hall and its facilities can be hired from the Elham Village Hall Association for private functions such as parties and conferences. Send Maggie, our helpful Booking Secretary, an e-mail or fill out our contact form to ask any questions you have or arrange a viewing.","Elham Village Hall, Canterbury Road, Elham, Kent, CT4 6SX",CT4 6SX,venues4hire.org,2026-09-03T10:01:31.298194,https://venues4hire.org/venue/details/5096/elham-village-hall,canterbury,False,False,False,True,False,False
Halling Community Centre,Halling,Party Venue,https://www.hallingcommunitycentre.org/,Large (1-300),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 20 spaces, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 24 rectangle tables, Seating: 200 chairs, WiFi, Staging, PA system",Hayley,hallinghall.booking@outlook.com,07446 703167,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fprofile.php%3Fid%3D100077518480518&sa=D&sntz=1&usg=AOvVaw0o8oKlwJSs_rV8nTIR_IVh,,,,,"Community Hall Large (1-300) Halling is a quiet and friendly village situated on the A228 by the River Medway and is within easy reach of the M20 and M2.  From Roman settlement to a thriving cement industry, Halling is now a residential parish in which villagers have raised their children over generations.  Close links with the local pre-school, primary school and youth club have been instrumental in bonding families and friendships to memories which have lasted a lifetime. Visitors to the area can take scenic strolls along the riverfront and sit to admire the views beside the remains of the old Archbishop’s Palace wall. Halling Community Centre is within walking distance of Halling Railway Station and bus stops. It is home to Halling Parish Council, Halling Community Pre-School, Halling Youth Club, Halara and many other clubs and local groups meet here each week. With two local pubs, co","93 High Street, Halling, Medway, ME2 1BS",ME2 1BS,venues4hire.org,2026-09-03T10:01:32.210195,https://venues4hire.org/venue/details/41101/halling-community-centre,maidstone,False,False,False,False,True,False
